player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Nicolas Seiwald,Midfielder,Austria,Austria,0,0,316,6.91,0.0,0.0,1.3820000000000001
Nicolás Tagliafico,Defender,Argentina,Argentina,0,0,417,6.82,0.0,0.0,1.364
Niko Sigur,Midfielder,Canada,Canada,0,0,125,6.54,0.0,0.0,1.308
Nikola Katić,Defender,Bosnia and Herzegovina,Croatia,0,0,318,6.88,0.0,0.0,1.3760000000000001
Nikola Vasilj,Goalkeeper,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,360,6.19,0.0,0.0,1.2380000000000002
Nikola Vlašić,Midfielder,Croatia,Croatia,1,0,190,6.74,0.47368421052631576,0.0,1.584842105263158
Nilson Angulo,Forward,Ecuador,Ecuador,1,0,218,6.96,0.41284403669724773,0.0,1.598422018348624
Nishan Velupillay,Forward,Australia,Australia,0,0,75,6.3,0.0,0.0,1.26
Nizar Mahmoud Al-Rashdan,Midfielder,Jordan,Jordan,1,0,256,6.76,0.3515625,0.0,1.52778125
Nkosinathi Sibisi,Defender,South Africa,South Africa,0,0,90,6.09,0.0,0.0,1.218
Noa Lang,Forward,Netherlands,Netherlands,0,0,6,3.32,0.0,0.0,0.664
Noah Okafor,Forward,Switzerland,Switzerland,0,0,19,6.64,0.0,0.0,1.328
Noah Sadiki,Midfielder,Congo DR,Belgium,0,0,257,6.75,0.0,0.0,1.35
Noni Madueke,Forward,England,England,0,0,289,6.94,0.0,0.0,1.3880000000000001
Noor Al-Deen Mahmoud Ali Al Rawabdeh,Midfielder,Jordan,Jordan,0,1,270,6.87,0.0,0.3333333333333333,1.4740000000000002
Noussair Mazraoui,Defender,Morocco,Netherlands,0,0,447,6.9,0.0,0.0,1.3800000000000001
Nuno da Costa,Forward,Cape Verde Islands,Cape Verde,0,0,157,6.62,0.0,0.0,1.324
Nuno Mendes,Defender,Portugal,Portugal,1,0,398,7.39,0.22613065326633164,0.0,1.5910653266331658
Obed Vaargas,Midfielder,Mexico,USA,0,0,63,6.61,0.0,0.0,1.322
Odeh Burhan Shehade Fakhoury,Forward,Jordan,Jordan,0,0,149,6.58,0.0,0.0,1.316
Odiljon Khamrobekov,Midfielder,Uzbekistan,Uzbekistan,0,0,77,5.95,0.0,0.0,1.1900000000000002
Oğuz Aydın,Forward,Turkey,Turkey,0,0,90,7.04,0.0,0.0,1.4080000000000001
Ollie Watkins,Forward,England,England,0,0,50,6.78,0.0,0.0,1.356
Omar Alderete,Defender,Paraguay,Paraguay,0,0,322,6.6,0.0,0.0,1.32
Omar Marmoush,Forward,Egypt,Egypt,0,0,326,6.7,0.0,0.0,1.34
Omar Rekik,Defender,Tunisia,Netherlands,1,0,180,6.5,0.5,0.0,1.55
Orbelín Pineda Alvarado,Midfielder,Mexico,Mexico,0,0,29,6.46,0.0,0.0,1.292
Orkun Kökçü,Midfielder,Turkey,Turkey,0,1,154,4.6,0.0,0.5844155844155845,1.0953246753246753
